No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
1,A21032400AM,KBA006830,K04033,B9200078677,MAIN BEARING STUD,SNCM439, Φ40, 523 , 318 ,1637,2021-05-13,검사품,CNC2차(62),-2,현대중공업,긴급," 25,870 "
2,D21033000E3,KBA007332/KBA007295,K04031,B9200078808,SIDE BOLT,SNCM439, Φ40, 329 , 383 ,1254,2021-05-24,검사품,CNC2차(269),1,현대중공업,긴급," 16,229 "
3,D2105250056,,069622,3E-26068-00,"screw,hexagon head",SNCM439, Φ38, 200 , 20 ,36,2021-05-30,,CNC2차대기-20210531,2,중산,긴급," 5,409 "
4,D210525000E,,051718,3D-76879-5,SCREW,SCM435, Φ50, 235 , 19 ,70,2021-05-30,,CNC1차대기-20210528,1,중산,긴급," 8,333 "
5,A210513009C,4200306255-40,056984,5119245-2.1,"STUD,REDUCED SHANK",SNCM439, Φ35, 373 , 4 ,11,2021-06-03,,CNC1차대기-20210531,4,MAN Energy Solutions-(수출),긴급," 36,533 "
6,A210329001U,KBB000816/KBA007328,057791,B9211183864/BH901209110/B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40, 787 , 196 ,1527,2021-06-18,검사품,CNC2차대기-20210527,-1,현대중공업,긴급," 45,500 "
7,A21042000HM,KBA007409/KBA007336,K03948,B9300413676,CYLINDER HEAD STUD,SNCM439, Φ45, 885 , 85 ,942,2021-06-18,검사품,CNC2차(0),0,현대중공업,긴급," 57,641 "
8,D191024006V-04,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-02-10,,CNC1차(0),-577,,," 2,990 "
9,A2012090023,KMAR2178,052996,12-902474-0,STUD,SCM440, Φ140," 1,140 ", 2 ,50,2021-02-18,,CNC2차대기-20210107,-141,,," 20,000 "
10,D191024006V-05,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-03-10,,CNC1차(0),-577,,," 2,990 "
11,D191024006V-06,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-04-10,,CNC1차(0),-577,,," 2,990 "
12,D191024006V-07,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 398 ,457,2021-05-10,,CNC1차(0),-577,,," 2,990 "
13,D210324009C,KBA007323,066157,BH901209230/BH204083411,SIDE STUD,SNCM439, Φ40, 322 , 208 ,667,2021-05-13,검사품,CNC2차대기-20210521,-7,현대중공업,," 18,500 "
14,A210504007C,E00I001,072412,11.49009-0381-1,TENSION SCREW,SNCM439, Φ85, 273 , 5 ,61,2021-05-30,,CNC1차대기-20210521,-5,STX엔진,," 96,950 "
15,A2105250099,,K04101,42-000023-2,STUD FOR T/V DAMPER,SNCM439, Φ35, 468 , 15 ,53,2021-05-30,,CNC1차대기-20210527,0,중산,," 15,640 "
16,A201209002K,H3042,052996,A22-268386-8.1,ELASTIC BOLT(P.K),SNCM439, Φ120," 1,139 ", 2 ,50,2021-05-30,,CNC2차대기-20210107,-141,,," 20,000 "
17,D210518007P,MINE2332P1/AVIN5852/MINE2332P2,S00271,EN61V30100/DN130-B30100-01/221R6130100,HEXAGON BOLT-Ls,SCM440, Φ30, 165 , 150 ,140,2021-05-31,,CNC1차대기-20210531,4,태양볼트,," 4,000 "
18,A21030400DH,202102020034-HHI-SN2376-8H32/40/202102020055-HHI-SN2376-6H32/40,057386,B9904692542,STUD FOR CON-ROD BIG END,SNCM439, Φ35, 461 , 144 ,504,2021-06-01,DNVGL/W,CNC2차대기-20210526,-2,하경산업,," 22,750 "
19,A19121000EE,WMAR0633,064421,12-014969-2,END CHOCK BOLT,SCM440, Φ65, 488 , 2 ,26,2021-06-01,,CNC1차대기-20200211,-470,,," 366,680 "
20,A19111300S1,WMAR0633,067603,13-020418-0,HOLD'G DOWN BOLT,SCM435, Φ45, 521 , 56 ,366,2021-06-01,,CNC1차대기-20200211,-470,,," 46,280 "
21,A2103290038,MSC 0266,062138,13-071154-0,FITTED STUD,SNCM439 QT, Φ60, 210 , 20 ,96,2021-06-02,,CNC2차대기-20210531,2,HSD엔진(주),," 18,563 "
22,A21052500B0,EURONAV_H-1894_LOE963,056984,13-064543-0,"STUD,REDUCED SHANK",SNCM439, Φ35, 373 , 4 ,11,2021-06-02,,CNC1차대기-20210531,4,HSD엔진(주),," 14,835 "
23,A210510009C,4200305913-90,072430,0781983-9.6,HOLD'G DOWN BOLT,SCM435, Φ38, 468 , 30 ,126,2021-06-03,LR ,CNC1차(0),5,MAN Energy Solutions-(수출),," 28,687 "
24,A210204002E,KBA007311/KBA007304,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40, 787 , 216 ,1682,2021-06-03,검사품,CNC2차대기-20210521,-7,현대중공업,," 42,810 "
25,A210406004M,PANT2413/KAA007365,069559,11-041261-0/A1167846500,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85, 964 , 28 ,1205,2021-06-04,검사품,CNC1차대기-20210531,4,HSD엔진(주),," 242,250 "
26,A210513009W,1DP643SD7730,058039,A1349177310,"STUD,AXIAL VIBR.DAMPER",SNCM439, Φ30, 605 , 64 ,216,2021-06-05,,CNC1차대기-20210528,1,유림공업㈜,," 23,740 "
27,A21051300AX,HMD2799/HMD2827/HMD2828,061088,A1356734070/A13-567340-7.0/5620706K2.0,"STUD,DAMPER",SCM440, Φ26, 534 , 48 ,107,2021-06-05,,CNC1차대기-20210528,1,유림공업㈜,," 11,500 "
28,D210422005Y,MINE2332P1/AET 2375/KAA007237,058799,21-018033-0-018/A2919712080,NUT FOR CYL COVER STUD,SCM440, Φ140, 81 , 93 ,944,2021-06-07,,CNC1차대기-20210529,2,현대중공업,," 28,111 "
29,A21033100DP,PLEI5066,059046,12-904786-0,STUD,SCM440, Φ30, 263 , 5 ,7,2021-06-09,,CNC1차대기-20210413,-43,HSD엔진(주),," 7,752 "
30,A21032400AN,KBA007301/KBA007102/KBA007317,K04033,B9200078677,MAIN BEARING STUD,SNCM439, Φ40, 523 , 318 ,1637,2021-06-09,검사품,CNC1차(1),5,현대중공업,," 25,870 "
31,D21040900C6,NAT2417/BC210K-9/H0316322,S00033,212.DP.130130/DN122-A30130-02,STUD BOLT,SCM440, Φ32, 177 , 178 ,202,2021-06-10,,CNC1차대기-20210423,-33,(주)화영,," 5,050 "
32,A21042900F8,3500328451-10,072312,2213326-7.1,CON ROD BOLT,SNCM439, Φ42, 389 , 330 ,1406,2021-06-10,,CNC1차(151),1,MAN Energy Solutions-(수출),," 28,661 "
33,A21051100AM,3500328943-30,064056,2174930-9.1,GUIDE,SNCM439, Φ25, 434 , 24 ,40,2021-06-10,,CNC2차대기-20210531,2,MAN Energy Solutions-(수출),," 8,134 "
34,D210504004Y,4200305241-80,071704,5951704-2.0,UNION NUT,S45C, Φ55, 63 , 40 ,49,2021-06-10,,CNC1차대기-20210520,-6,MAN Energy Solutions-(수출),," 64,785 "
35,A210413004J,4200297685-010-재료시험성적서/4200297684-010-재료시험성적서,069769,5915891-3.2,"STUD,FUEL VALVE",SNCM439, Φ28, 648 , 42 ,132,2021-06-10,,CNC2차대기-20210531,2,인화정공㈜,," 64,130 "
36,A210413004K,4200297685-010-재료시험성적서/4200297684-010-재료시험성적서,069770,5915880-5.2,"STUD,FUEL VALVE",SNCM439, Φ25, 648 , 42 ,105,2021-06-10,,CNC2차대기-20210531,2,인화정공㈜,," 64,130 "
37,A21033100FT,KAA007412,067669,A1266148521,FITTED STUD,SCM435, Φ35, 219 , 2 ,3,2021-06-10,,CNC1차대기-20210413,-43,현대중공업,," 23,000 "
38,A21050400HR,KBW1001234/HOTHR091/BV/W.C,K04003,B9201967501,STUD FOR CON ROD SHAFT,SNCM439, Φ35, 237 , 40 ,72,2021-06-11,BV/W,CNC1차대기-20210526,-5,디에스티,," 17,794 "
39,A21050400HS,KBW1001234/HOTHR091/BV/W.C,K04005,B9201967370,STUD FOR CON-ROD BIG END,SNCM439, Φ35, 403 , 40 ,123,2021-06-11,BV/W,CNC1차대기-20210526,-5,디에스티,," 24,418 "
40,D21040900C8,KAA006912/KAA007144/KAA007288,S00034,212DP130140,STUD BOLT,SCM440, Φ32, 187 , 188 ,225,2021-06-14,,CNC1차대기-20210423,-33,현대중공업,," 3,452 "
41,A21052000K4,MINE2332P2/SN2363/CE0763T,K03115,107.379.511C.001/22-001443-2,ELASTIC STUD,SNCM439, Φ42, 413 , 30 ,136,2021-06-15,,CNC1차대기-20210527,0,(주)화영,," 26,719 "
42,A210409007H,SITC2267,063342,13-908219-0,STUD(PK안함),SNCM439, Φ30, 754 , 72 ,302,2021-06-15,,CNC2차(0),0,(주)화영,," 24,360 "
43,A210416008N,MINE2332P2/SN2363/CE0763T,K03115,107.379.511C.001/A22-177772-0.2,ELASTIC STUD,SNCM439, Φ42, 413 , 28 ,127,2021-06-15,,CNC1차대기-20210430,-26,(주)화영,," 26,719 "
44,A210409007I,SITC2267,063414,13-067639-0,STUD(PK안함),SNCM439, Φ35, 612 , 72 ,334,2021-06-15,,CNC2차대기-20210531,2,(주)화영,," 20,475 "
45,A210421007C,CE0764T/SH8094 STBD-추가/CE0763T,062872,A23-191843-4.2/107.391.861C.200,ELASTIC BOLT(금용재료시험),SNCM439, Φ42, 354 , 20 ,78,2021-06-15,,CNC1차대기-20210430,-26,(주)화영,," 86,940 "
46,A21033100DS,PLEI5066,059083,13-907627-0,CON ROD STUD BOLT,SCM440, Φ30, 322 , 24 ,43,2021-06-15,,CNC1차대기-20210418,-38,HSD엔진(주),," 8,226 "
47,A210408005K,KBF005375,072125,B9913898650,FLANGE NUT M27X2 FOR DAMPER (NUCLEAR) ,SCM440, Φ55, 35 , 240 ,170,2021-06-15,검사품,CNC1차대기-20210423,-33,현대중공업,," 16,250 "
48,D201202007Z-02,BWGA2509P2/KAA007295/KAA007294,Z00807,250R1264000/DN160-B64000-02,HEX NUT,S45C, Φ80, 69 , 300 ,852,2021-06-15,,CNC1차(0),-176,,," 10,450 "
49,D21040900A2,KBF005375,068994,B9913923340,SOCKET BOLT(NUCLEAR),SCM435, Φ26, 85 , 96 ,35,2021-06-16,검사품,CNC1차대기-20210512,-14,현대중공업,," 10,000 "
50,D21040900B9,KBF005375,072144,B9913923220,SOCKET HEAD BOLT M6x60 (NUCLEAR) ,SCM435, Φ26, 81 , 79 ,28,2021-06-16,검사품,CNC1차대기-20210512,-14,현대중공업,," 9,500 "
51,D21040900A0,KBF005375,068984,B9913923100/B9914411570,SOCKET BOLT(NUCLEAR),SCM435, Φ26, 76 , 207 ,68,2021-06-16,검사품,CNC1차대기-20210512,-14,현대중공업,," 9,000 "
52,A21040900BP,KBF005375,072252,B9915148980,SOCKET HEAD BOLT M12x20 (KKNPP) ,SCM435, Φ22, 35 , 240 ,27,2021-06-16,검사품,CNC1차대기-20210512,-14,현대중공업,," 7,600 "
53,A21051100E5,3500327071/3500328451-10,072312,2213326-7.1,CON ROD BOLT,SNCM439, Φ42, 389 , 230 ,980,2021-06-17,,CNC1차대기-20210525,-1,MAN Energy Solutions-(수출),," 31,500 "
54,A2105130081,4200306255-10,K01682,1152226-7.0,CONNECTING ROD STUD,SNCM439, Φ45, 491 , 5 ,31,2021-06-17,LR,CNC1차대기-20210526,4,MAN Energy Solutions-(수출),," 53,798 "
55,A21052400CZ,4200306690-20,053695,5136291-0.1,STUD,SNCM439, Φ35, 798 , 6 ,36,2021-06-17,,CNC1차대기-20210528,1,MAN Energy Solutions-(수출),," 33,984 "
56,A21052400JI,4200306690-10,K01937,4021327-1.3,"STUD, W. LONG/SHORT THREAD",SNCM439, Φ45, 958 , 6 ,72,2021-06-17,,CNC1차대기-20210528,1,MAN Energy Solutions-(수출),," 72,993 "
57,A210413005R,KBF005375,072110,B9914365580,CYL.HEAD STUD M48X3(KKNPP NUCLEAR) ,SNCM439 QT, Φ48, 990 , 64 ,902,2021-06-17,검사품,CNC2차대기-20210528,0,현대중공업,," 108,000 "
58,A210416003J,KAA007263,067136,A2919695193,COUPLING BOLT,SCM435, Φ60, 300 , 12 ,81,2021-06-17,,CNC1차대기-20210521,-5,현대중공업,," 44,130 "
59,A210409006Y,KBA007212/KBA007261/KBA007259,060711,B9412303802/B9412303801,STUD BOLT FOR T/C,SNCM439, Φ35, 479 , 24 ,87,2021-06-17,,CNC2차대기-20210531,2,현대중공업,," 29,900 "
60,A2105170096,KBA007409,K03961,B9912088331/B9300308548,STUD FOR CON-ROD END,SNCM439 QT, Φ40, 386 , 2 ,7,2021-06-17,검사품,CNC1차대기-20210520,-6,현대중공업,," 19,300 "
61,A210506009I,MW4032/755542,Z01343,3X-73964-00/5088467-8.0,STUD,SNCM439, Φ32, 508 , 8 ,26,2021-06-18,,CNC1차대기-20210528,1,금용기계㈜,," 16,231 "
62,A2104270010,KBW1001224/HOTHR091/BV W.C,057386,B9904692780,STUD FOR CON-ROD BIG END,SNCM439, Φ35, 461 , 200 ,701,2021-06-18,BV/W,CNC2차대기-20210528,0,디에스티,," 24,418 "
63,A21041400DT,KAA007205,071348,A2427075402,FITTED BOLT(필히 양센타),S45C, Φ100, 195 , 4 ,49,2021-06-18,,CNC1차대기-20210513,-13,현대중공업,," 35,198 "
64,A2104160030,KAA007393/KAA007288/KAA007319,063865,A1356748271,FITTED BOLT,SCM440, Φ60, 201 , 47 ,213,2021-06-18,,CNC1차대기-20210512,-14,현대중공업,," 20,054 "
65,A21050400KJ,KBF005462/KBF005461/KBF005463,062716,B9906835934/B9906835931,SIDE STUD,SNCM439, Φ40, 534 , 120 ,635,2021-06-21,검사품,CNC1차(0),2,현대중공업,," 27,590 "
66,A210408002I,KBA007036/KBA007228,062953,B9906836995,SIDE STUD,SNCM439, Φ40, 422 , 160 ,666,2021-06-21,검사품,CNC1차대기-20210518,-8,현대중공업,," 23,500 "
67,A2104160074,KBF005375,072253,B9915149190,HEX BOLT WITH HOLE(NUCLEAR),SCM440, Φ30, 73 , 20 ,0,2021-06-21,검사품,CNC1차대기-20210512,-14,현대중공업,," 15,000 "
68,A21041400G5,PLEI5066,072335,13-928086-0,FITTED STUD,SCM440, Φ38, 221 , 3 ,6,2021-06-22,,CNC1차대기-20210421,-35,HSD엔진(주),," 28,900 "
69,A21040700AL,PANT2413/KAA007359/NAT 2417,061864,13-068773-0/A1368165860,STOP BOLT,SNCM439, Φ50, 191 , 42 ,126,2021-06-22,,CNC2차(0),-15,HSD엔진(주),," 37,650 "
70,D210517007U,KMAR3212/SK  5488/CMES3100,S00371,DN173-M90000-01,"HYDRAULIC NUT-TYPE ""R""",S45C, Φ170, 94 , 56 ,967,2021-06-22,,CNC1차대기-20210525,-1,HSD엔진(주),," 32,450 "
71,A210506008Y,TE31X0/MW0066,K05273,3E-48619-02,STUD F.AXIVAL VIBR.DAMPER,SNCM439, Φ25, 497 , 16 ,31,2021-06-22,,CNC1차대기-20210526,0,금용기계㈜,," 9,546 "
72,A210506008C,TE31X0/MW0066,K01618,3E-48618-02,"STUD, AXIAL VIBR. DAMPER",SNCM439, Φ35, 549 , 8 ,33,2021-06-22,,CNC1차대기-20210531,4,금용기계㈜,," 17,050 "
73,D210416003C,KBF005375,069015,B9915106750/B9912675830/B9914499700,BOLT M16x40(NUCLEAR),SCM440, Φ30, 53 , 258 ,80,2021-06-22,검사품,CNC1차대기-20210531,4,현대중공업,," 10,000 "
74,A21050400H9,HSD_STOCK_K98ME_0010/2238,K01866,12-011450-1,STUD BOLT,SNCM439, Φ45, 478 , 25 ,150,2021-06-23,,CNC1차대기-20210531,4,HSD엔진(주),," 25,840 "
75,D21040900C9,SITC2267/SITC2002/SITC2001,S00036,DN122-A30160-02,STUD BOLT,SCM440, Φ32, 207 , 138 ,183,2021-06-23,,CNC1차대기-20210423,-33,HSD엔진(주),," 4,845 "
76,A21040900CU,KAA006828,S00045,212R6136180,STUD BOLT,SCM440, Φ38, 235 , 52 ,110,2021-06-23,,CNC1차대기-20210428,-28,현대중공업,," 6,295 "
77,D2104160038,KBF005375,068973,B9914411690/B9914411450/B9914922180,SOCKET BOLT(NUCLEAR),SCM435, Φ26, 61 , 70 ,19,2021-06-23,검사품,CNC1차대기-20210512,-14,현대중공업,," 11,500 "
78,A210416006G,KBF005375,072222,B9914915690/B9915154900,BOLT M16x45 (NUCLEAR) ,SCM440, Φ30, 58 , 214 ,0,2021-06-23,검사품,CNC1차대기-20210512,-14,현대중공업,," 9,900 "
79,A210504002X,KBA007323,061102,BH203449500,STUD FOR COUNT WEIGHT,SNCM439, Φ32, 295 , 240 ,451,2021-06-23,검사품,CNC1차대기-20210524,-2,현대중공업,," 12,500 "
80,A210419006O,EP21-0186-6,072210,2C-04809-00,UNDERCUT BOLT (TCA77),SNCM439, Φ40, 327 , 224 ,729,2021-06-24,검사품,CNC2차대기-20210531,2,ENSYS (수출),," 36,800 "
81,A21050700HH,3500327071,Z00140,11030950197/B1213039647,CON ROD STUD,SNCM439, Φ32, 209 , 400 ,535,2021-06-24,검사품,CNC2차대기-20210527,-1,현대글로벌서비스,," 13,960 "
82,D2104190044,KBF005375,072142,B9913881980,SOCKET HEAD BOLT M20x120 (NUCLEAR),SCM435, Φ32, 142 , 20 ,18,2021-06-24,검사품,CNC1차대기-20210512,-14,현대중공업,," 22,000 "
83,D210414009G,PANT2413/NAT 2417,069400,13-923722-0,STARTING VALVE STUD,SNCM439, Φ28, 202 , 70 ,69,2021-06-25,,CNC1차대기-20210430,-26,HSD엔진(주),," 7,600 "
84,A21042000CA,KAA007269/KAA007307/KAA007308,066038,A2923235243,COUPLING BOLT,SCM435, Φ60, 260 , 20 ,117,2021-06-25,,CNC1차대기-20210521,-5,현대중공업,," 42,940 "
85,D2104220028,8225,066074,E4016142-01(PK),STUD,SNCM439, Φ25, 373 , 44 ,64,2021-06-26,,CNC1차대기-20210505,-21,금용기계㈜,," 8,835 "
86,A2104220048,N983/0316321/UNIS2415,069494,12-909946-1/A12-701278-9.0,STUD,SCM440, Φ32, 674 , 40 ,171,2021-06-26,,CNC1차대기-20210517,-9,금용기계㈜,," 27,039 "
87,A21042300EX,SOVC2367/SOVC2368,072042,22-029256-0,ELASTIC STUD FOR CROSSHEAD PIN,SCM440, Φ32, 337 , 28 ,60,2021-06-28,,CNC1차대기-20210505,-21,HSD엔진(주),," 14,020 "
88,A210406004O,NAT 2417/BWGA2509P1,069559,11-041261-0/3Y-45236-00,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85, 964 , 32 ,1378,2021-06-28,검사품,CNC1차대기-20210531,4,HSD엔진(주),," 242,250 "
89,A2104300074,"신고리 5,6호기 PJT. 6호/신고리 5,6호기 PJT. 5호",K00563,64-010292-1,SPECIAL WASHER,SCM435, Φ70, 20 , 16 ,11,2021-06-28,,CNC1차대기-20210517,-9,HSD엔진(주),," 95,000 "
90,A2104300073,"신고리 5,6호기 PJT. 6호/신고리 5,6호기 PJT. 5호",K00562,64-010293-0,THRUST PIN,SCM435, Φ22, 30 , 16 ,2,2021-06-28,,CNC1차대기-20210517,-9,HSD엔진(주),," 7,500 "
91,A21042300FI,KBF005375,072223,B9915102610,SOCKET LOW HEAD BOLT M16x30 (NUCLEAR) ,SCM435, Φ26, 42 , 20 ,4,2021-06-28,검사품,CNC1차대기-20210512,-14,현대중공업,," 19,000 "
